                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.8459,                  1.127,                 1.2164,                0.85818,                0.84982,                0.90054,                 0.4088,                 1.7716,                 1.1254,                 1.1717,               0.046211,              0.0052108,              0.0052108
                     60,                 1.7908,                 1.0793,                 1.2137,                0.84389,                0.88197,                0.89043,                0.47238,                 1.5227,                0.91312,                 1.1125,               0.045287,              0.0052872,              0.0052872
                     61,                 1.7855,                 1.0956,                 1.1828,                0.76148,                0.87218,                0.86337,                0.39342,                 1.7454,                 1.1414,                 1.1667,               0.044363,              0.0053632,              0.0053632
                     62,                 1.8027,                 1.1011,                 1.2121,                0.84397,                0.90466,                0.91014,                0.48794,                 1.4916,                0.89104,                 1.1042,               0.043439,              0.0054389,              0.0054389
                     63,                 1.8073,                 1.0907,                 1.1935,                0.83038,                0.86054,                0.86926,                0.37615,                  1.819,                 1.2748,                 1.1908,               0.042514,              0.0055141,              0.0055141
                     64,                 1.7651,                  1.091,                 1.1823,                0.78058,                0.87274,                0.87129,                0.42718,                 1.6109,                 1.0334,                 1.1269,               0.041589,               0.005589,               0.005589
                     65,                 1.7798,                 1.0825,                 1.1797,                0.82394,                0.84172,                 0.8676,                0.37217,                 1.7678,                 1.1946,                 1.1594,               0.040663,              0.0056635,              0.0056635
                     66,                 1.7643,                 1.0554,                 1.1844,                0.81754,                0.88219,                0.89176,                0.45705,                 1.5466,                0.97043,                 1.1112,               0.039738,              0.0057375,              0.0057375
                     67,                 1.7835,                 1.0576,                 1.1788,                0.78756,                0.84956,                0.85272,                0.35635,                 1.8477,                  1.243,                 1.2179,               0.038811,              0.0058112,              0.0058112
                     68,                 1.7698,                 1.0742,                 1.1964,                0.84418,                0.86629,                0.89355,                0.42729,                 1.6061,                0.93217,                 1.1183,               0.037884,              0.0058844,              0.0058844
                     69,                  1.759,                 1.0638,                 1.1723,                0.72162,                0.80899,                0.80412,                0.35277,                  1.816,                 1.1482,                 1.1834,               0.036957,              0.0059573,              0.0059573
                     70,                 1.7001,                 1.0586,                 1.1567,                0.71424,                0.77157,                0.75857,                0.30956,                  1.866,                 1.1087,                 1.1642,                0.03603,              0.0060298,              0.0060298
                     71,                 1.7727,                 1.1665,                 1.1687,                 0.8425,                0.83472,                0.88304,                0.46662,                 1.5494,                0.96294,                 1.1099,               0.035102,              0.0061019,              0.0061019
                     72,                 1.7181,                   1.02,                 1.1411,                0.67237,                0.62962,                0.66931,                0.23535,                 2.1707,                 1.4898,                 1.2748,               0.034174,              0.0061736,              0.0061736
                     73,                 1.8023,                 1.0873,                  1.187,                0.82177,                0.89573,                0.90327,                0.48179,                 1.4664,                 1.0104,                 1.1034,               0.033245,              0.0062449,              0.0062449
                     74,                 1.7089,                 1.0118,                 1.1613,                0.71699,                0.77419,                0.77406,                0.32766,                 1.8791,                 1.1495,                 1.1924,               0.032316,              0.0063158,              0.0063158
                     75,                 1.8873,                 1.1002,                 1.2042,                0.85656,                0.83589,                 0.9062,                0.40184,                 1.6959,                 1.0005,                 1.1342,               0.031386,              0.0063862,              0.0063862
                     76,                 1.7915,                 1.0443,                 1.1796,                 0.8613,                0.87112,                0.91259,                0.43433,                 1.6523,                0.96641,                 1.1158,               0.030456,              0.0064564,              0.0064564
                     77,                  1.739,                 1.0417,                 1.1609,                0.80841,                 0.8751,                0.88222,                0.44558,                 1.5927,                0.98982,                 1.1227,               0.029526,              0.0065261,              0.0065261
                     78,                   1.65,                 1.0338,                 1.1598,                0.77868,                0.85303,                0.88962,                0.39776,                 1.7541,                 1.0246,                 1.1345,               0.028595,              0.0065954,              0.0065954
