                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.8205,                 1.0279,                 1.1898,                0.81517,                0.84997,                0.89289,                0.48386,                 1.4746,                0.89357,                 1.0798,               0.015792,              0.0057924,              0.0057924
                     91,                 1.6227,                0.96369,                 1.1203,                0.70093,                 0.7304,                0.72236,                0.23935,                 2.2306,                 1.2576,                 1.2897,               0.014821,              0.0058207,              0.0058207
                     92,                 1.7472,                 1.0233,                  1.174,                0.82208,                0.89238,                 0.9017,                 0.4718,                  1.513,                0.91118,                 1.0827,               0.013848,              0.0058483,              0.0058483
                     93,                 1.6493,                0.96129,                 1.1426,                0.80814,                0.82102,                0.85636,                0.41876,                 1.6937,                 1.1002,                 1.1212,               0.012875,               0.005875,               0.005875
                     94,                 1.6484,                 1.0434,                 1.1545,                0.81966,                0.84175,                0.86984,                0.46367,                   1.58,                0.92615,                 1.0943,               0.011901,              0.0059009,              0.0059009
                     95,                  1.635,                 1.0249,                 1.1122,                0.83751,                0.90284,                0.90487,                0.46567,                 1.5643,                0.95415,                 1.0754,               0.010926,              0.0059261,              0.0059261
                     96,                 1.6098,                0.97572,                 1.1218,                 0.8316,                0.87392,                 0.9172,                0.47594,                 1.5348,                0.88925,                 1.0767,              0.0099505,              0.0059505,              0.0059505
                     97,                 1.7285,                0.98545,                 1.1344,                 0.7578,                0.85355,                0.85324,                0.40601,                 1.6692,                0.99708,                 1.1045,               0.008974,               0.005974,               0.005974
                     98,                 1.6229,                 0.9219,                 1.1217,                  0.733,                0.83279,                0.86317,                0.40913,                 1.6284,                 1.0073,                 1.1052,              0.0079968,              0.0059968,              0.0059968
                     99,                 1.6904,                0.95428,                 1.1354,                0.72716,                0.85636,                 0.8611,                0.42097,                 1.6528,                 1.0248,                 1.1163,              0.0070188,              0.0060188,              0.0060188
                    100,                 1.6099,                0.94629,                 1.1086,                0.70708,                0.72464,                0.82571,                0.40294,                 1.6194,                 1.1221,                 1.1179,                0.00604,                0.00604,                0.00604
                    101,                 1.5974,                0.92543,                 1.1248,                0.75697,                0.80542,                0.88558,                0.47113,                  1.541,                 1.0205,                 1.0801,                0.00604,                0.00604,                0.00604
                    102,                  1.628,                0.91585,                 1.1149,                 0.6893,                0.71309,                0.75953,                 0.3689,                 1.6289,                 1.0878,                 1.1376,              0.0060004,              0.0060004,              0.0060004
                    103,                 1.6037,                0.94784,                 1.1183,                0.64586,                0.73031,                0.72155,                0.31296,                 1.8337,                 1.0934,                 1.1711,              0.0059608,              0.0059608,              0.0059608
                    104,                 1.6896,                0.95277,                 1.1421,                0.78283,                0.83146,                0.86322,                0.48286,                 1.4677,                0.93317,                  1.081,              0.0059212,              0.0059212,              0.0059212
                    105,                 1.5954,                0.90664,                 1.1075,                 0.6851,                0.74322,                0.73694,                0.30871,                 1.8374,                 1.2877,                  1.165,              0.0058816,              0.0058816,              0.0058816
                    106,                 1.6105,                0.94175,                 1.1233,                 0.7455,                0.85695,                0.83017,                0.44153,                 1.5164,                0.99045,                 1.0986,               0.005842,               0.005842,               0.005842
                    107,                 1.5755,                0.86947,                  1.092,                 0.6694,                0.73978,                0.70408,                0.28146,                 1.9783,                 1.2158,                 1.2191,              0.0058024,              0.0058024,              0.0058024
