                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 2.0828,                 1.2748,                 1.1907,                0.33527,                0.36458,                0.32979,                0.10502,                  2.744,                 1.6625,                 1.3602,               0.024869,              0.0068686,              0.0068686
                     83,                 2.3933,                 1.2684,                 1.2581,                0.49208,                0.22482,                0.31409,                0.13541,                 2.5158,                  1.771,                 1.3937,               0.023936,               0.006936,               0.006936
                     84,                 2.2539,                 1.1788,                 1.2667,                 0.4375,                0.23267,                0.26301,                0.09256,                 2.8234,                 2.1503,                 1.6442,               0.023003,              0.0070029,              0.0070029
                     85,                 2.2413,                 1.3205,                 1.2059,                0.56125,                0.19438,                0.23932,                0.05096,                 2.7164,                 2.1231,                 1.3624,               0.022069,              0.0070694,              0.0070694
                     86,                 2.2001,                 1.4283,                 1.1444,                0.36356,                0.23922,                0.24162,                0.06425,                 2.8696,                 2.2152,                 1.4137,               0.021136,              0.0071356,              0.0071356
                     87,                 2.2772,                 1.4086,                 1.1845,                0.38892,                0.33179,                0.36654,                0.13619,                 2.4595,                 1.6369,                 1.3198,               0.020201,              0.0072013,              0.0072013
                     88,                 2.4018,                 1.3648,                 1.2124,                0.45126,                0.29257,                0.34984,                0.11229,                 2.6919,                 1.6769,                 1.4327,               0.019267,              0.0072667,              0.0072667
                     89,                 2.5094,                  1.286,                 1.2516,                0.28371,                0.21821,                0.18111,                0.05267,                 2.9833,                 1.8543,                 1.4533,               0.018332,              0.0073316,              0.0073316
                     90,                 2.3736,                  1.269,                 1.2236,                0.31734,                0.25969,                 0.2381,                0.09718,                 2.6907,                 1.9084,                 1.5694,               0.017396,              0.0073962,              0.0073962
                     91,                 2.4112,                 1.2439,                  1.209,                0.20924,                0.22636,                0.15543,                0.04925,                  2.966,                 2.1835,                 1.5189,                0.01646,              0.0074604,              0.0074604
                     92,                 2.3323,                 1.3019,                 1.1615,                0.35699,                0.32654,                0.30327,                0.08488,                 2.8739,                 1.5852,                 1.3291,               0.015524,              0.0075241,              0.0075241
                     93,                 2.4364,                 1.3695,                 1.2117,                0.45582,                0.50896,                0.45881,                0.16537,                 2.4037,                 1.2493,                 1.3025,               0.014587,              0.0075875,              0.0075875
                     94,                 2.4147,                 1.2207,                 1.1615,                0.32452,                0.36757,                0.31752,                0.09807,                 2.7704,                 1.7245,                 1.3461,                0.01365,              0.0076505,              0.0076505
